channel_id,channel_number,readout_board_slot,fragment,flange,group,y0,z0,y1,z1
0,63,0,4098,EE01M,19,-181.7,-181.7,0.0,-894.95
1,62,0,4098,EE01M,19,-181.4,-181.4,0.0,-894.95
2,61,0,4098,EE01M,19,-181.1,-181.1,0.0,-894.95
3,60,0,4098,EE01M,19,-180.8,-180.8,0.0,-894.95
4,59,0,4098,EE01M,19,-180.5,-180.5,0.0,-894.95
5,58,0,4098,EE01M,19,-180.2,-180.2,0.0,-894.95
6,57,0,4098,EE01M,19,-179.9,-179.9,0.0,-894.95
7,56,0,4098,EE01M,19,-179.6,-179.6,0.0,-894.95
8,55,0,4098,EE01M,19,-179.3,-179.3,0.0,-894.95
9,54,0,4098,EE01M,19,-179.0,-179.0,0.0,-894.95
10,53,0,4098,EE01M,19,-178.7,-178.7,0.0,-894.95
11,52,0,4098,EE01M,19,-178.4,-178.4,0.0,-894.95
12,51,0,4098,EE01M,19,-178.1,-178.1,0.0,-894.95
13,50,0,4098,EE01M,19,-177.8,-177.8,0.0,-894.95
14,49,0,4098,EE01M,19,-177.5,-177.5,0.0,-894.95
15,48,0,4098,EE01M,19,-177.2,-177.2,0.0,-894.95
16,47,0,4098,EE01M,19,-176.9,-176.9,0.0,-894.95
17,46,0,4098,EE01M,19,-176.6,-176.6,0.0,-894.95
18,45,0,4098,EE01M,19,-176.3,-176.3,0.0,-894.95
19,44,0,4098,EE01M,19,-176.0,-176.0,0.0,-894.95
20,43,0,4098,EE01M,19,-175.7,-175.7,0.0,-894.95
21,42,0,4098,EE01M,19,-175.4,-175.4,0.0,-894.95
22,41,0,4098,EE01M,19,-175.1,-175.1,0.0,-894.95
23,40,0,4098,EE01M,19,-174.8,-174.8,0.0,-894.95
24,39,0,4098,EE01M,19,-174.5,-174.5,0.0,-894.95
25,38,0,4098,EE01M,19,-174.2,-174.2,0.0,-894.95
26,37,0,4098,EE01M,19,-173.9,-173.9,0.0,-894.95
27,36,0,4098,EE01M,19,-173.6,-173.6,0.0,-894.95
28,35,0,4098,EE01M,19,-173.3,-173.3,0.0,-894.95
29,34,0,4098,EE01M,19,-173.0,-173.0,0.0,-894.95
30,33,0,4098,EE01M,19,-172.7,-172.7,0.0,-894.95
31,32,0,4098,EE01M,19,-172.4,-172.4,0.0,-894.95
32,63,1,4098,EE01M,21,-172.1,-172.1,0.0,-894.95
33,62,1,4098,EE01M,21,-171.8,-171.8,0.0,-894.95
34,61,1,4098,EE01M,21,-171.5,-171.5,0.0,-894.95
35,60,1,4098,EE01M,21,-171.2,-171.2,0.0,-894.95
36,59,1,4098,EE01M,21,-170.9,-170.9,0.0,-894.95
37,58,1,4098,EE01M,21,-170.6,-170.6,0.0,-894.95
38,57,1,4098,EE01M,21,-170.3,-170.3,0.0,-894.95
39,56,1,4098,EE01M,21,-170.0,-170.0,0.0,-894.95
40,55,1,4098,EE01M,21,-169.7,-169.7,0.0,-894.95
41,54,1,4098,EE01M,21,-169.4,-169.4,0.0,-894.95
42,53,1,4098,EE01M,21,-169.1,-169.1,0.0,-894.95
43,52,1,4098,EE01M,21,-168.8,-168.8,0.0,-894.95
44,51,1,4098,EE01M,21,-168.5,-168.5,0.0,-894.95
45,50,1,4098,EE01M,21,-168.2,-168.2,0.0,-894.95
46,49,1,4098,EE01M,21,-167.9,-167.9,0.0,-894.95
47,48,1,4098,EE01M,21,-167.6,-167.6,0.0,-894.95
